dataset,seed,forget_ratio,method,clients,affected_clients,forget_train,forget_test,retained_acc,retained_bacc,retained_auc,forget_scope_bacc,forget_scope_auc,mia_auc,mia_gap,l2_to_oracle,runtime,runtime_to_oracle,type_leak_auc,attribute_leak_auc,full_retained_bacc
German Credit,3,0.25,FedAvg-Full,12,10,53,97,0.7892156862745098,0.5113636363636364,0.7745738636363636,0.5,0.6922421142369991,0.4479673215327757,0.0520326784672242,0.033907075457276,0.003717375017004,1.062423140948799,1.0,0.8991666666666667,0.5113636363636364
German Credit,3,0.25,SISA-Retrain,12,10,53,97,0.7843137254901961,0.5,0.7576704545454546,0.5,0.6508951406649617,0.4382415872398366,0.0617584127601634,0.1209027467924787,0.0018867079925257,0.5392198049170429,1.0,0.8659666666666667,0.5113636363636364
German Credit,3,0.25,FedEraser-proxy,12,10,53,97,0.7892156862745098,0.5113636363636364,0.7710227272727272,0.5,0.6743393009377664,0.4440770278156001,0.0559229721843999,0.0001444181397476,0.0030402500124182,0.8689012953194537,1.0,0.9202222222222223,0.5113636363636364
German Credit,3,0.25,FedRecovery-proxy,12,10,53,97,0.7843137254901961,0.5082386363636364,0.7788352272727272,0.5,0.6896845694799659,0.4483563509044933,0.0516436490955067,0.0462875001120305,0.0013878749741706,0.3966536823855366,1.0,0.8915555555555555,0.5113636363636364
German Credit,3,0.25,Starfish-proxy,12,10,53,97,0.7843137254901961,0.5082386363636364,0.7789772727272727,0.5,0.6896845694799659,0.4483563509044933,0.0516436490955067,0.0412313638500337,0.0013607500004582,0.3889013841541353,0.9744111111111111,0.5972555555555555,0.5113636363636364
German Credit,3,0.25,MA-ABE-FU,12,10,53,97,0.7843137254901961,0.5082386363636364,0.779971590909091,0.5,0.6896845694799659,0.4481618362186345,0.0518381637813655,0.0480281863352453,0.0016277499962598,0.4652097934147815,0.6360777777777777,0.5239444444444444,0.5113636363636364
German Credit,3,0.25,Oracle-Retrain,12,10,53,97,0.7892156862745098,0.5113636363636364,0.7711647727272727,0.5,0.6747655583972719,0.4442715425014588,0.0557284574985411,0.0,0.0034989590058103,1.0,1.0,0.9090222222222222,0.5113636363636364
German Credit,3,0.5,FedAvg-Full,12,10,106,97,0.7892156862745098,0.5113636363636364,0.7745738636363636,0.5,0.6922421142369991,0.4677105621474421,0.0322894378525578,0.0525565791351898,0.003717375017004,1.0760705470347376,1.0,0.9185666666666666,0.5113636363636364
German Credit,3,0.5,SISA-Retrain,12,10,106,97,0.7843137254901961,0.5,0.7664772727272727,0.5,0.659846547314578,0.4634312390585489,0.036568760941451,0.124867415782861,0.0018670000135898,0.540441498839312,1.0,0.9087555555555555,0.5113636363636364
German Credit,3,0.5,FedEraser-proxy,12,10,106,97,0.7892156862745098,0.5113636363636364,0.7805397727272727,0.5,0.6751918158567775,0.4670297607469364,0.0329702392530635,0.0003393008831381,0.0029902079841122,0.8655771146287123,1.0,0.9021,0.5113636363636364
German Credit,3,0.5,FedRecovery-proxy,12,10,106,97,0.7843137254901961,0.5082386363636364,0.7779829545454545,0.5,0.6922421142369991,0.468196848862089,0.0318031511379109,0.044550880462153,0.0013103749952279,0.3793149551728375,1.0,0.9105333333333333,0.5113636363636364
German Credit,3,0.5,Starfish-proxy,12,10,106,97,0.7843137254901961,0.5082386363636364,0.7785511363636364,0.5,0.6922421142369991,0.4680023341762303,0.0319976658237696,0.0410473517415564,0.0012240830110386,0.3543359680632373,0.9844333333333334,0.7137666666666667,0.5113636363636364
German Credit,3,0.5,MA-ABE-FU,12,10,106,97,0.7843137254901961,0.5082386363636364,0.7795454545454545,0.5,0.6926683716965046,0.4679050768333009,0.032094923166699,0.0460655675317354,0.0014520830009132,0.4203352478523582,0.5888333333333333,0.5340666666666667,0.5113636363636364
German Credit,3,0.5,Oracle-Retrain,12,10,106,97,0.7892156862745098,0.5113636363636364,0.7808238636363637,0.5,0.6751918158567775,0.4671270180898658,0.0328729819101342,0.0,0.003454582998529,1.0,1.0,0.8972111111111111,0.5113636363636364
German Credit,3,1.0,FedAvg-Full,12,10,211,97,0.7892156862745098,0.5113636363636364,0.7745738636363636,0.5,0.6922421142369991,0.4738359310108956,0.0261640689891043,0.1252597305960216,0.003717375017004,1.0989210103752198,1.0,0.9177444444444445,0.5113636363636364
