backend,authority_count,policy_rows,ma_abe_capsule_proxy_ms,bn254_pairing_ma_abe_ms,padded_envelope_hmac_ms,ucap_rsa_pss_sign_ms,ucap_rsa_pss_verify_ms,hash_chain_append_ms,total_control_plane_ms,pairing_backend_available,guard
primitive_modexp_proxy,0,4,26.473538086117646,,0.09912617138719984,1.1727011995390058,0.0332083145622164,0.38619525730609894,28.16476902891217,True,2878
primitive_modexp_proxy,0,8,53.03477380075492,,0.0993059715256095,1.0713511994773788,0.032248800354344506,0.38910831374648425,54.626788085858735,True,63909
primitive_modexp_proxy,0,16,106.0199845149847,,0.09828094293230347,1.0649547429888375,0.03230954337465976,0.3881737997289747,107.60370354400948,True,61406
primitive_modexp_proxy,0,24,159.107548800031,,0.09878928540274501,1.0652928571549378,0.03602382909905698,0.3898785707341241,160.69753334242185,True,22884
primitive_modexp_proxy,0,32,212.19560357110043,,0.09889642824418843,1.0689452573257898,0.034465485285701494,0.39297977096534203,213.79089051292146,True,45986
primitive_modexp_proxy,0,48,330.15196668566205,,0.09872977139561304,1.067744056594425,0.03217739951131599,0.38907262829265427,331.73969054145607,True,25773
bn254_pairing_py_ecc,2,4,,594.3179170135409,0.09912617138719984,1.1727011995390058,0.0332083145622164,0.38619525730609894,596.0091479563354,True,402
bn254_pairing_py_ecc,4,4,,1090.1313749782275,0.09912617138719984,1.1727011995390058,0.0332083145622164,0.38619525730609894,1091.8226059210222,True,404
bn254_pairing_py_ecc,6,4,,1586.994166020304,0.09912617138719984,1.1727011995390058,0.0332083145622164,0.38619525730609894,1588.6853969630986,True,406
bn254_pairing_py_ecc,2,8,,692.2476660110988,0.0993059715256095,1.0713511994773788,0.032248800354344506,0.38910831374648425,693.8396802962026,True,802
bn254_pairing_py_ecc,4,8,,1197.9987910017371,0.0993059715256095,1.0713511994773788,0.032248800354344506,0.38910831374648425,1199.590805286841,True,804
bn254_pairing_py_ecc,6,8,,1843.526374985231,0.0993059715256095,1.0713511994773788,0.032248800354344506,0.38910831374648425,1845.118389270335,True,806
bn254_pairing_py_ecc,2,16,,892.9261669982225,0.09828094293230347,1.0649547429888375,0.03230954337465976,0.3881737997289747,894.5098860272473,True,1602
bn254_pairing_py_ecc,4,16,,1390.817417006474,0.09828094293230347,1.0649547429888375,0.03230954337465976,0.3881737997289747,1392.4011360354987,True,1604
bn254_pairing_py_ecc,6,16,,1882.4002500041388,0.09828094293230347,1.0649547429888375,0.03230954337465976,0.3881737997289747,1883.9839690331635,True,1606
bn254_pairing_py_ecc,2,24,,1102.421209012391,0.09878928540274501,1.0652928571549378,0.03602382909905698,0.3898785707341241,1104.0111935547818,True,2402
bn254_pairing_py_ecc,4,24,,1587.6849580090493,0.09878928540274501,1.0652928571549378,0.03602382909905698,0.3898785707341241,1589.27494255144,True,2404
bn254_pairing_py_ecc,6,24,,2144.000917003723,0.09878928540274501,1.0652928571549378,0.03602382909905698,0.3898785707341241,2145.590901546114,True,2406
bn254_pairing_py_ecc,2,32,,1498.4357909997925,0.09889642824418843,1.0689452573257898,0.034465485285701494,0.39297977096534203,1500.0310779416136,True,3202
bn254_pairing_py_ecc,4,32,,1858.548290998442,0.09889642824418843,1.0689452573257898,0.034465485285701494,0.39297977096534203,1860.1435779402632,True,3204
bn254_pairing_py_ecc,6,32,,2308.2446249900386,0.09889642824418843,1.0689452573257898,0.034465485285701494,0.39297977096534203,2309.839911931859,True,3206
bn254_pairing_py_ecc,2,48,,1679.6888329845387,0.09872977139561304,1.067744056594425,0.03217739951131599,0.38907262829265427,1681.276556840333,True,4802
bn254_pairing_py_ecc,4,48,,2362.657624995336,0.09872977139561304,1.067744056594425,0.03217739951131599,0.38907262829265427,2364.24534885113,True,4804
bn254_pairing_py_ecc,6,48,,2706.7373750032857,0.09872977139561304,1.067744056594425,0.03217739951131599,0.38907262829265427,2708.32509885908,True,4806
